
Top 100 Private High Schools in the United States, 2024:
1 Groton School--Groton, MA
2 Phillips Academy--Andover, MA
3 Phillips Academy--Exeter, NH
4 Choate Rosemary Hall--Wallingford, CT
5 Commonwealth School--Boston, MA
6 The Hotchkiss School--Lakeville, CT
7 The College Preparatory School--Oakland, CA
8 Riverdale Country School--New York, NY
9 St Paul's School--Concord, NH
10 Stanford Online High School--Redwood City, CA
11 Harvard-Westlake School--Los Angeles, CA
12 The Pingry School--Basking Ridge, NJ
13 The Brearley School--New York, NY
14 The Nueva School--Hillsborough, CA'
15 St John's School--Houston, TX
16 The Lawrenceville School--Lawrenceville, NJ
17 Regis High School--New York, NY
18 The Chapin School--New York, NY
19 Dwight Global Online School--West Palm Beach, FL
20 The Bishop's School--La Jolla, CA
21 Flintridge Preparatory School--La Canada Flintridge, CA
22 Elite Preparatory Academy--Hopatcong, NJ
23 Noble & Greenough School--Dedham, MA
24 Rye Country Day School--Rye, NY
25 The Loomis Chaffee School--Windsor, CT
26 Windward School--Los Angeles, CA
27 Horace Mann School--New York, NY
28 Trinity School--New York, NY
29 Princeton Intl School of Math & Science--Princeton, NJ
30 Sage Hill School--Newport Coast, CA
31 St Mark's School--Dallas, TX
32 Sidwell Friends School--Washington DC
33 American Heritage Schools--Plantation, FL
34 Lake Forest Academy--Lake Forest, IL
35 The Dalton School--New York, NY
36 The Spence School--New York, NY
37 The Quarry Lane School--Dublin, CA
38 Crystal Springs Uplands School--Hillsborough, CA
39 Deerfield Academy--Deerfield, MA
40 Ethical Culture Fieldston School--New York, NY
41 St Andrew's School--Middleton, DE
42 Cate School--Carpinteria, CA
43 BASIS Independent Mclean--Mclean, VA
44 Middlesex School--Concord, MA
45 Avenues The World School--New York, NY
46 The Thatcher School--Ojai, CA
47 Boston University Academy--Boston, MA
49 The Village School--Houston, TX
50 The Madeira School--Mclean, VA
51 St Mark's School--Southborough, MA
52 BASIS Independent Brooklyn--New York, NY
53 Ransom Everglades School--Coconut Grove, FL
54 Newark Academy--Livingston, NJ
55 Milton Academy--Milton, MA
56 Covenant of the Sacred Heart--New York, NY
57 The Taft School--Watertown, CT
58 The Hopkins School--New Haven, CT
59 The Overlake School--Redmond, WA
60 Cranbrook Schools--Bloomfield Hills, MI
61 Lycee Francais de New York--New York, NY
62 Head-Royce School--Oakland, CA
63 The John Cooper School--Houston, TX
64 Marlborough School--Los Angeles, CA
65 Berkeley Preparatory School--Tampa, FL
66 Castilleja School--Palo Alto, CA
67 Collegiate School--New York, NY
68 The Awty International School--Houston, TX
69 Georgetown Day School--Washington, DC
70 Delbarton School--Morristown, NJ
71 Greenhills School--Ann Arbor, MI
72 The Hockaday School--Dallas, TX
73 Fulton Science Academy--Atlanta, GA
74 John Burroughs School--St Louis, MO
75 Crossroads School for Arts & Science--Santa Monica, CA
76 United World College-USA--Montezuma, NM
77 Friends Academy--Locust Valley, NY
78 Cary Academy--Cary, NC
79 Episcopal High School--Alexandria, VA
80 Polytechnic School--Pasadena, CA
81 University High School--San Francisco, CA
82 St Stephen's Episcopal School--Austin, TX
83 French-American School of New York--Mamaroneck, NY
84 Blair Academy--Blairstown, NJ
85 Belmont Hill School--Belmont, MA
86 Catlin Gabel School-Portland, OR
87 Eastside Preparatory School--Kirkland, WA
88 Indian Springs School--Indian Springs, AL
89 Mercersburg Academy--Mercersburg, PA
90 Greenhill School--Addison, TX
91 Sierra Canyon School--Chatsworth, CA
92 Maharishi School--Fairfield, IA
93 The Potomac School--Mclean, VA
94 Holton-Arms School--Bethesda, MD
95 The Branson School--Ross, CA
96 Pierrepont School--Westport, CT
98 Menlo School--Atherton, CA
99 Marymount School--New York, NY
100 The Bryn Mawr School--Baltimore, MD
